City,StationID
Mexico City,GHCND:MXM00076680
New York City,GHCND:USW00094728
Los Angeles,GHCND:USW00093134
Toronto,GHCND:CA006158355
Chicago,GHCND:USC00111550
Houston,GHCND:USW00012918
Vancouver,GHCND:CA001108395
Montreal,GHCND:CA007024745
Denver,GHCND:USC00052223
Philadelphia,GHCND:USC00366886
Phoenix,GHCND:USW00023183
San Antonio,GHCND:USC00417947
Guadalajara,GHCND:MXM00076612
Puebla,GHCND:MXM00076683
San Diego,GHCND:USW00023188
Juarez,GHCND:USW00023044
Leon,GHCND:MXM00076577
Dallas,GHCND:USW00013960
San Francisco,GHCND:USW00023272
Tulsa,GHCND:USW00013968