,Commodity,score_rf,score_nn,score_nn1,score_nn2,score_nn3,score_nn4
0,UD_ind_WTI_0.25,0.332537693,0.367883996,0.367883996,0.342164936,0.289573139,0.291701476
1,UD_ind_lumber_0.25,0.284642645,0.287284611,0.277035056,0.305640438,0.300292844,0.287889398
2,UD_ind_live_cattle_0.25,0.339681512,0.305759419,0.305759419,0.352171586,0.319692889,0.351395649
3,UD_ind_OJ_0.25,0.341165716,0.340119937,0.340119937,0.318023772,0.327312631,0.360688298
4,UD_ind_us_cotton_0.25,0.34763904,0.342428925,0.342428925,0.3468865,0.350988053,0.341703273
5,UD_ind_us_soybean_oil_0.25,0.356932424,0.324821132,0.324821132,0.354688586,0.328636223,0.357686253
6,UD_ind_us_wheat_0.25,0.34665975,0.317170436,0.317170436,0.296822869,0.309585832,0.318008971
7,UD_ind_copper_0.25,0.356932424,0.324821132,0.324821132,0.354688586,0.328636223,0.357686253
8,UD_ind_WTI,0.478127672,0.484411513,0.484411513,0.515403249,0.465773725,0.558848675
9,UD_ind_lumber,0.51023622,0.507207753,0.507207753,0.509221684,0.501059964,0.502998183
10,UD_ind_live_cattle,0.511479592,0.498384354,0.498384354,0.484991497,0.513818027,0.491794218
11,UD_ind_OJ,0.504926108,0.533114395,0.533114395,0.536124795,0.503968254,0.51272578
12,UD_ind_us_cotton,0.502272727,0.528342246,0.528342246,0.522192513,0.509001783,0.47241533
13,UD_ind_us_soybean_oil,0.474149373,0.484571067,0.484571067,0.505670849,0.494268822,0.466563103
14,UD_ind_us_wheat,0.525193798,0.488372093,0.488372093,0.484496124,0.480620155,0.507751938
15,UD_ind_copper,0.510550733,0.527162526,0.527162526,0.523046992,0.519290632,0.518886561